,symbol,open_alias,close,high,low,preclose,change,chg,volume,amplitude,mktcap,market,tag,macdp,macdn
1842,LYEL,12.29,13.15,13.47,11.91,12.2,0.95,7.79,222200.0,12.79%,3148086318.0,NASDAQ,策略2,,
1846,GWH,15.83,23.8,28.92,15.26,10.42,13.38,128.41,69923462.0,131.09%,3137211275.0,NYSE,策略2,,
1935,LAC,21.71,24.24,24.29,21.62,21.56,2.68,12.43,9587961.0,12.38%,2906965417.0,NYSE,策略2,,
2260,ASTR,7.87,8.38,8.6,7.41,7.5,0.88,11.73,8396859.0,15.87%,2157499645.0,NASDAQ,策略2,,
2519,OCGN,8.22,9.11,9.47,8.01,7.69,1.42,18.47,105666358.0,18.99%,1810665552.0,NASDAQ,策略2,,
2637,WFRD,21.8,23.58,24.69,21.8,20.38,3.2,15.7,819118.0,14.18%,1653435301.0,NASDAQ,策略2,,
2728,HYZN,5.78,6.2,6.22,5.5,5.78,0.42,7.27,2678109.0,12.54%,1532737566.0,NASDAQ,策略2,,
2859,BLI,19.66,21.0,21.67,19.3,18.56,2.44,13.15,3606371.0,12.77%,1409112474.0,NASDAQ,策略2,,
2972,KLTR,9.44,10.18,10.56,9.25,9.25,0.93,10.05,196234.0,14.16%,1287662864.0,NASDAQ,策略2,,
2991,INBX,33.35,33.68,36.57,31.71,27.61,6.07,21.98,1921174.0,17.60%,1276209745.0,NASDAQ,策略2,,
2992,CCSI,61.99,63.61,66.0,59.12,60.92,2.69,4.42,639202.0,11.29%,1276071380.0,NASDAQ,策略2,,
3149,BRLT,11.22,11.89,12.89,11.0,10.73,1.16,10.81,844083.0,17.61%,1121603755.0,NASDAQ,策略2,,
3188,SNPO,14.07,14.35,14.87,13.14,13.98,0.37,2.65,168111.0,12.37%,1089113613.0,NASDAQ,策略2,,
0,LAC,21.71,24.23,,,,,,,,,,策略4,28.0,17.0
1,NXE,4.93,5.66,,,,,,,,,,策略4,28.0,17.0
2,SNCE,9.8,11.8,,,,,,,,,,策略4,14.0,8.0
3,AXSM,32.6,37.78,,,,,,,,,,策略4,31.0,14.0
4,LEU,42.16,48.85,,,,,,,,,,策略4,25.0,17.0
5,AXDX,5.54,6.22,,,,,,,,,,策略4,21.0,19.0
6,UROY,4.0249,4.69,,,,,,,,,,策略4,23.0,22.0
7,VERA,15.88,17.77,,,,,,,,,,策略4,6.0,0.0
8,AFIB,7.81,8.91,,,,,,,,,,策略4,39.0,0.0
9,KOSS,15.61,18.88,,,,,,,,,,策略4,22.0,0.0
10,BCTX,7.2102,8.19,,,,,,,,,,策略4,29.0,14.0
11,WKSP,5.397,6.02,,,,,,,,,,策略4,24.0,16.0
12,ZIVO,3.755,4.48,,,,,,,,,,策略4,25.0,0.0
13,SNTG,2.18,2.59,,,,,,,,,,策略4,19.0,8.0
14,CRTD,2.1,2.4,,,,,,,,,,策略4,21.0,20.0
15,THMO,1.81,2.03,,,,,,,,,,策略4,23.0,4.0
16,TTNP,1.62,1.79,,,,,,,,,,策略4,26.0,16.0
