title,house_type,district,bizcircle_name,avg_price,area_range,sale_status,open_date,longitude,latitude,tags,index
新安明月府,住宅,建德,建德,18000,89-130㎡,在售,2021-09-99,119.33186374193,29.520908660498,"['车位充足', '绿化率高', '置换改善', '高品质小区']",1
新安明月府,别墅,建德,建德,23000,154-175㎡,在售,2021-11-28,119.33186374193,29.520908660498,"['低单价', '车位充足', '人车分流', '置换改善']",1
龙大江景府,住宅,建德,建德,22000,108-129㎡,在售,2021-06-15,119.31700207033,29.504930028437,"['车位充足', '低密居所', '置换改善', '养老舒适']",1
龙大江景府,别墅,建德,建德,32000,155㎡,在售,2021-06-15,119.31700207033,29.504930028437,"['车位充足', '人车分流', '置换改善', '品牌房企']",1
弘元江山潮鸣,住宅,建德,建德,12000,89-133㎡,在售,2021-12-24,119.48572234655,29.545584402754,"['人车分流', '小型社区', '品牌房企', '自持商业']",1
龙大悦江府,别墅,建德,建德,26000,160-178㎡,在售,2022-06-24,119.3346358475,29.517623621128,"['车位充足', '人车分流', '置换改善', '品牌房企']",2
德信中南江山云起院,住宅,建德,建德,14000,89-120㎡,在售,2022-01-22,119.33321979107,29.520740648851,"['绿化率高', '低密居所', '置换改善', '贴心物业']",2
德信中南江山云起院,别墅,建德,建德,22000,150-165㎡,在售,2022-06-99,119.33321979107,29.520740648851,"['低单价', '人车分流', '小型社区', '置换改善']",2
龙大悦江府,住宅,建德,建德,17000,105-130㎡,在售,2022-06-99,119.3346358475,29.517623621128,"['车位充足', '绿化率高', '置换改善', '高品质小区']",2
绿都中天云屿江月,住宅,建德,建德,16500,89-108㎡,在售,2022-06-99,119.31028053449,29.50499240663,"['低密居所', '人车分流', '养老舒适', '品牌房企']",2
绿都中天云屿江月,别墅,建德,建德,25000,102-159㎡,在售,2022-04-28,119.31028053449,29.50499240663,"['人车分流', '小型社区', '置换改善', '品牌房企']",2
云水山居,住宅,富阳,银湖科技城,15600,146-392㎡,在售,2024-03-14,119.91105198761,30.122414766297,"['低单价', '车位充足', '低密居所', '置换改善']",1
万科玖望,住宅,富阳,东洲,20600,98㎡,在售,2021-03-99,119.999616,30.074198,"['车位充足', '低密居所', '国央企', '养老舒适']",1
富春玫瑰园,别墅,富阳,东洲,49000,200-288㎡,在售,2023-01-23,120.01669827541,30.087277667945,"['特价好房', '优惠楼盘', '车位充足', '大型社区']",1
云水山居,别墅,富阳,银湖科技城,24500,220-648㎡,在售,2024-06-24,119.91105198761,30.122414766297,"['低单价', '车位充足', '大型社区', '置换改善']",1
万科公望,别墅,富阳,东洲,50200,207-249㎡,在售,2023-06-99,120.027944,30.08721,"['车位充足', '低密居所', '国央企', '置换改善']",1
祥生云湖城,住宅,富阳,银湖科技城,20500,93-143㎡,在售,2021-06-15,119.981695,30.16514,"['车位充足', '人车分流', '品牌房企', '旅游地产']",1
云上金铭府,住宅,富阳,富春,22000,89-125㎡,在售,2020-07-99,119.918952,30.057546,"['车位充足', '人车分流', '国央企', '品牌房企']",1
富阳宸光悦,住宅,富阳,银湖科技城,22000,98-118㎡,在售,2021-04-30,119.945748,30.094327,"['车位充足', '封闭管理', '品牌房企', '地铁沿线']",1
澳海云樾赋,住宅,富阳,富阳,13300,80-113㎡,在售,2024-03-99,119.75066568601,29.994381854807,"['低单价', '低总价', '车位充足', '绿化率高']",1
碧桂园万科悦望名邸,住宅,富阳,东洲,21900,95-122㎡,在售,2022-11-02,120.03484842487,30.088469133108,"['低密居所', '小型社区', '国央企', '品牌房企']",1
富春金茂星外滩·秦望府,住宅,富阳,富阳,29800,102-350㎡,在售,2023-04-99,119.951125,30.046171,"['车位充足', '绿化率高', '品牌房企', '自持商业']",2
杭房首望澜翠府,住宅,富阳,东洲,19000,112-136㎡,在售,2023-10-99,120.033882,30.087515,"['低单价', '车位充足', '低密居所', '国央企']",2
山水华府,住宅,富阳,富春,22000,96-116㎡,在售,2023-04-99,119.92457130128,30.069363132124,"['车位充足', '大型社区', '品牌房企', '地铁沿线']",2
绿地潮悦江山城,住宅,富阳,富春,27000,95-144㎡,在售,2023-11-99,119.94014416685,30.05007709531,"['车位充足', '人车分流', '品牌房企', '近地铁']",2
杭房首望澜翠府,别墅,富阳,东洲,25000,168-222㎡,在售,2023-10-99,120.033882,30.087515,"['低单价', '车位充足', '人车分流', '国央企']",2
中交保利江语云城,住宅,富阳,江南新城,16300,89-115㎡,在售,2022-10-20,119.99402222304,30.013222296057,"['低单价', '低总价', '车位充足', '绿化率高']",2
澳海百合云泽赋,住宅,富阳,鹿山新城,12000,80-126㎡,在售,2023-09-99,119.87951833952,29.913864091129,"['低单价', '低总价', '车位充足', '绿化率高']",2
招商德信云望之宸,住宅,富阳,富春,25000,95-122㎡,在售,2022-11-01,119.93510702768,30.071095730921,"['车位充足', '绿化率高', '国央企', '品牌房企']",2
融创云辰富源里,住宅,富阳,富春,27500,98-135㎡,在售,2022-01-17,119.93790443604,30.052352926861,"['车位充足', '人车分流', '品牌房企', '健身跑道']",2
联发檀境里,住宅,富阳,富春,22000,89-119㎡,在售,2023-03-30,119.91745980745,30.055238801009,"['绿化率高', '人车分流', '国央企', '品牌房企']",2
广宇锦云里,住宅,富阳,银湖科技城,21380,95-160㎡,在售,2022-12-31,119.97692002874,30.151844352354,"['车位充足', '低密居所', '养老舒适', '品牌房企']",3
辰春澜城,住宅,富阳,富春,22000,89-118㎡,在售,2023-04-99,119.91495189746,30.053019280723,"['车位充足', '绿化率高', '国央企', '品牌房企']",3
中交江望云城,住宅,富阳,江南新城,16200,89-135㎡,在售,2024-04-15,119.99416984506,30.011199508825,"['低单价', '低总价', '车位充足', '绿化率高']",3
绿城桂语新月,住宅,富阳,银湖科技城,22000,98-138㎡,在售,2022-12-99,119.94709028287,30.085883065707,"['车位充足', '绿化率高', '国央企', '品牌房企']",3
绿城江畔锦园,住宅,富阳,银湖科技城,25000,104-143㎡,在售,2023-09-99,119.95234849665,30.073364549713,"['车位充足', '绿化率高', '国央企', '品牌房企']",3
沁悦宸轩,住宅,富阳,江南新城,18800,89-95㎡,在售,2023-11-19,119.99648225245,30.012669835988,"['低单价', '低总价', '车位充足', '人车分流']",3
大华峰汇华城,住宅,富阳,银湖科技城,22000,85-117㎡,在售,2023-11-11,119.94935369874,30.08522282047,"['车位充足', '绿化率高', '品牌房企', '科技住宅']",3
云萃天和城,住宅,富阳,江南新城,18800,98-123㎡,在售,2023-09-99,119.98761877259,30.020796841207,"['低单价', '低总价', '车位充足', '人车分流']",3
杭房启润学府,住宅,富阳,银湖科技城,24500,100-125㎡,在售,2023-09-27,119.95925163552,30.069064780867,"['人车分流', '小型社区', '国央企', '品牌房企']",3
湖著观邸,住宅,富阳,富春,25000,89-135㎡,在售,2024-07-04,119.93414194635,30.075884180036,"['车位充足', '绿化率高', '国央企', '品牌房企']",3
富春御园,别墅,富阳,东洲,44200,170-320㎡,在售,2022-10-11,120.01711024886,30.089868351022,"['车位充足', '低密居所', '国央企', '置换改善']",4
坤生樾青里,住宅,富阳,富春,17800,89-115㎡,在售,2023-12-99,119.88191692488,30.044794026949,"['低单价', '低总价', '低密居所', '小型社区']",4
中国铁建晴萃府,住宅,富阳,江南新城,18800,89-108㎡,在售,2023-04-17,119.98751414168,30.035319584706,"['优惠楼盘', '低单价', '绿化率高', '人车分流']",4
文缦滨汇府,住宅,富阳,富春,25000,148-183㎡,在售,2023-04-99,119.95094068265,30.064825678289,"['车位充足', '绿化率高', '品牌房企', '地铁沿线']",4
山水阳珀别院,别墅,富阳,银湖科技城,25000,195-280㎡,在售,2023-11-11,119.93890300974,30.092221975695,"['低单价', '车位充足', '人车分流', '品牌房企']",4
