,SYMBOL,IND,NAME,TOTAL VALUE,ERP,OPEN DATE,CLOSE DATE,BASE,ADJBASE,PNL,PNL RATIO,HIS DAYS,STRATEGY,pnl_growth
44,MU,半导体<span style='color:#ff4444;'><b>↑1</b></span>/83,美光科技公司,4374.3,-1.5,2025-12-19,2026-03-03,265.9200134277344,379.67999267578125,4209.119232177734,0.42779773429487267,74,连续下跌,-7869.9895362854
45,AMD,半导体<span style='color:#ff4444;'><b>↑1</b></span>/83,美国超微公司,3206.8,-2.8,2026-02-24,2026-03-03,213.83999633789062,190.9499969482422,-1052.9399719238281,-0.10704264768822634,7,连续下跌,-7869.9895362854
46,HMY,黄金<span style='color:#00a859;'><b>↓83</b></span>/84,哈莫尼黄金,123.8,-7.9,2026-02-26,2026-03-04,22.549999237060547,20.270000457763672,-1010.0394592285156,-0.10110859673776552,6,低于买入价10%,-11555.998692512512
47,IONQ,计算机硬件<span style='color:#00a859;'><b>↓42</b></span>/85,"IonQ, Inc.",129.7,-10.4,2026-02-26,2026-03-05,40.880001068115234,36.02000045776367,-1185.8401489257812,-0.11888455194151569,7,低于买入价10%,-67773.88222885132
48,BUD,啤酒饮料,百威英博公司,1438.5,0.4,2025-12-10,2026-03-05,62.25,73.70999908447266,1833.599853515625,0.1840963708349021,85,连续下跌,
49,PG,家庭个人用品,宝洁公司,3596.9,0.3,2026-01-12,2026-03-05,143.4600067138672,153.99000549316406,726.5699157714844,0.07340023899691495,52,连续下跌,
50,LII,建筑产品设备,雷诺士,184.3,0.1,2026-02-27,2026-03-05,569.9400024414062,528.719970703125,-700.7405395507812,-0.07232345784066797,6,连续下跌,
51,UL,家庭个人用品,联合利华PLC,1470.4,,2025-12-09,2026-03-04,64.04000091552734,69.06999969482422,784.6798095703125,0.07854463940329653,85,连续下跌,
52,BTI,烟草,英美烟草公司,1271.1,,2026-01-13,2026-03-04,56.619998931884766,61.0099983215332,772.639892578125,0.07753443081003433,50,连续下跌,
53,SEI,石油天然气设备服务,"Solaris Energy Infrastructure, Inc.",25.7,-2.7,2026-02-25,2026-02-27,55.220001220703125,49.630001068115234,-1011.7900276184082,-0.10123143841025638,2,低于买入价10%,
