,SYMBOL,IND,NAME,TOTAL VALUE,ERP,SHARPE RATIO,SORTINO RATIO,MAX DD,OPEN DATE,BASE,ADJBASE,PNL,PNL RATIO,AVG TRANS,AVG DAYS,WIN RATE,TOTAL PNL RATIO,STRATEGY,pnl_growth
12,SH605366,化工行业<span style='color:#ff4444;'><b>↑6</b></span>/4,宏柏新材,78.9,-3.0,9.962949753129681,33.481712427331054,-0.043062161658069864,2025-12-25,6.369999885559082,10.920000076293945,6825.000286102295,0.7142857570609703,2,65.0,1.0,0.36269190218989444,连续上涨,2130.000114440918
13,SH600131,电子信息<span style='color:#ff4444;'><b>↑8</b></span>/5,国网信通,258.4,0.8,3.9243515191702563,7.39517279875752,-0.05927833201768873,2026-01-05,16.450000762939453,21.559999465942383,3065.999221801758,0.31063820462035185,2,52.0,1.0,0.17897827798772895,连续上涨,1733.9996337890625
14,SZ002380,电子信息<span style='color:#ff4444;'><b>↑8</b></span>/5,科远智慧,91.7,1.4,6.36446515508483,13.85729209915963,-0.05008396282773009,2025-12-22,27.290000915527344,38.220001220703125,3279.0000915527344,0.40051300617424596,3,37.333333333333336,0.3333333333333333,0.10340759825971363,均线收敛,1733.9996337890625
15,SH603269,机械行业<span style='color:#ff4444;'><b>↑1</b></span>/6,海鸥股份,52.3,-0.5,6.5678178731336985,17.601060513255472,-0.06002729356073366,2026-02-09,12.880000114440918,16.940000534057617,2842.0002937316895,0.3152174210825255,2,42.0,1.0,0.16148091083220384,连续上涨,1729.000186920166
16,SH600885,电网设备<span style='color:#ff4444;'><b>↑12</b></span>/7,宏发股份,511.2,2.0,3.0845208753458553,4.414535512789339,-0.0373800588117047,2026-02-24,30.93000030517578,33.029998779296875,629.9995422363281,0.06789519732948994,3,36.666666666666664,1.0,0.05149917644362912,连续上涨,1303.999900817871
17,SZ002121,电网设备<span style='color:#ff4444;'><b>↑12</b></span>/7,科陆电子,159.4,0.2,1.413011215665982,2.451218076061272,-0.07995624170431315,2026-02-24,9.289999961853027,9.600000381469727,310.0004196166992,0.033369259514492516,2,35.5,1.0,0.051678213764049574,连续上涨,1303.999900817871
18,SZ002270,电网设备<span style='color:#ff4444;'><b>↑12</b></span>/7,华明装备,330.6,0.4,3.6236690269962093,6.9049137364834685,-0.06434403970924973,2025-12-05,25.399999618530273,36.88999938964844,3446.999931335449,0.4523622025071122,1,91.0,1.0,0.4523622025071122,连续上涨,1303.999900817871
19,SZ002128,煤炭采选<span style='color:#ff4444;'><b>↑1</b></span>/8,电投能源,745.8,5.6,2.18288383598663,3.1628827946586555,-0.07676346153173941,2026-02-11,29.56999969482422,33.27000045776367,1110.000228881836,0.1251268448131598,1,23.0,1.0,0.1251268448131598,多头排列,1054.0002822875977
20,SH601898,煤炭采选<span style='color:#ff4444;'><b>↑1</b></span>/8,中煤能源,2297.7,5.5,5.020698146331142,9.209921732878415,-0.07383042444083177,2026-02-04,14.079999923706055,17.329999923706055,2275.0,0.23082386488710677,3,43.0,0.6666666666666666,0.1415916464561587,突破半年线,1054.0002822875977
21,SH600188,煤炭采选<span style='color:#ff4444;'><b>↑1</b></span>/8,兖矿能源,1935.2,3.1,5.26243025940491,10.30380228482108,-0.05951216162704842,2025-12-24,13.470000267028809,19.280000686645508,4067.0002937316895,0.4313289015916449,2,68.0,1.0,0.28571428055175496,连续上涨,1054.0002822875977
22,SZ001289,电力行业<span style='color:#00a859;'><b>↓4</b></span>/9,龙源电力,1479.7,2.2,6.768068435316001,21.861381305014504,-0.016518439178056288,2026-02-24,15.90999984741211,17.700000762939453,1074.0005493164062,0.11250791531707663,3,32.0,0.6666666666666666,0.03720274592449195,均线收敛,819.0004348754883
23,SH600023,电力行业<span style='color:#00a859;'><b>↓4</b></span>/9,浙能电力,734.8,9.5,7.063510732466134,24.084432999616116,-0.009980077535050813,2026-02-24,5.050000190734863,5.480000019073486,816.9996738433838,0.0851484776431366,3,25.0,0.6666666666666666,0.0215404647525058,连续上涨,819.0004348754883
24,SZ000993,电力行业<span style='color:#00a859;'><b>↓4</b></span>/9,闽东电力,66.2,1.3,4.636002704216258,16.46261135167239,-0.02979905031752128,2026-02-12,12.569999694824219,14.460000038146973,1323.0002403259277,0.15035802619000652,3,35.333333333333336,1.0,0.14518625978575914,均线金叉,819.0004348754883
