,SYMBOL,IND,NAME,TOTAL VALUE,ERP,SHARPE RATIO,SORTINO RATIO,MAX DD,OPEN DATE,BASE,ADJBASE,PNL,PNL RATIO,AVG TRANS,AVG DAYS,WIN RATE,TOTAL PNL RATIO,STRATEGY,pnl_growth
170,SZ300393,光伏设备<span style='color:#ff4444;'><b>↑6</b></span>/18,中来股份,132.0,-5.8,4.809536877345808,17.508701035351592,-0.14018691838677866,2025-12-24,6.670000076293945,12.109999656677246,7615.999412536621,0.815592131657955,3,47.333333333333336,0.6666666666666666,0.2577896238730241,突破半年线,1465.0028228759766
171,SH688390,光伏设备<span style='color:#ff4444;'><b>↑6</b></span>/18,固德威,228.0,-1.2,1.097696836538623,1.994817205076047,-0.10222219723707071,2025-12-15,58.45000076293945,93.80000305175781,3535.000228881836,0.6047904504260028,2,52.0,0.5,0.24776881553602803,连续上涨,1465.0028228759766
172,SH688556,光伏设备<span style='color:#ff4444;'><b>↑6</b></span>/18,高测股份,131.0,-2.1,1.7086945018284085,3.076281317594003,-0.0970625490996121,2025-12-01,10.8100004196167,15.770000457763672,4464.000034332275,0.4588343982990191,4,31.0,0.25,0.07401576728900394,连续上涨,1465.0028228759766
173,SZ001696,交运设备<span style='color:#ff4444;'><b>↑46</b></span>/19,宗申动力,292.4,1.7,5.162444409213766,21.344768470173545,-0.021266337491549936,2026-02-26,21.440000534057617,25.540000915527344,1640.0001525878906,0.1912313563125543,4,22.75,0.25,0.014090344320402522,连续上涨,1292.9998874664307
174,SH688009,交运设备<span style='color:#ff4444;'><b>↑46</b></span>/19,中国通号,623.7,4.1,2.4041979265155864,5.6857156587355036,-0.035472978959560586,2026-01-22,5.75,5.889999866485596,237.9997730255127,0.024347802867060123,4,27.5,0.5,0.00010308341258881988,多头排列,1292.9998874664307
175,SZ002128,煤炭采选<span style='color:#ff4444;'><b>↑16</b></span>/20,电投能源,745.8,5.6,2.18288383598663,3.1628827946586555,-0.07676346153173941,2026-02-11,29.56999969482422,33.27000045776367,1110.000228881836,0.1251268448131598,1,23.0,1.0,0.1251268448131598,多头排列,1215.000820159912
176,SH601898,煤炭采选<span style='color:#ff4444;'><b>↑16</b></span>/20,中煤能源,2297.7,5.5,5.020698146331142,9.209921732878415,-0.07383042444083177,2026-02-04,14.079999923706055,17.329999923706055,2275.0,0.23082386488710677,3,43.0,0.6666666666666666,0.1415916464561587,突破半年线,1215.000820159912
177,SH601225,煤炭采选<span style='color:#ff4444;'><b>↑16</b></span>/20,陕西煤业,2418.9,5.2,3.181039215488827,4.905609858636408,-0.06418313559715982,2026-02-04,22.68000030517578,24.950000762939453,908.0001831054688,0.10008820225834111,6,18.0,0.3333333333333333,0.015156172421790527,突破半年线,1215.000820159912
178,SH601088,煤炭采选<span style='color:#ff4444;'><b>↑16</b></span>/20,中国神华,9105.7,3.9,3.203706189665113,6.849828538152969,-0.055568848416322925,2026-02-04,42.41999816894531,45.83000183105469,682.000732421875,0.08038669988924607,4,34.5,0.5,0.030652304116217867,多头排列,1215.000820159912
179,SH600792,煤炭采选<span style='color:#ff4444;'><b>↑16</b></span>/20,云煤能源,54.3,-6.3,1.9400636238893538,3.062477986634652,-0.10516608185200038,2026-01-22,4.179999828338623,4.889999866485596,1633.000087738037,0.16985647543176294,4,26.0,0.5,0.03357518283375095,突破半年线,1215.000820159912
180,SH600188,煤炭采选<span style='color:#ff4444;'><b>↑16</b></span>/20,兖矿能源,1935.2,3.1,5.26243025940491,10.30380228482108,-0.05951216162704842,2025-12-24,13.470000267028809,19.280000686645508,4067.0002937316895,0.4313289015916449,2,68.0,1.0,0.28571428055175496,连续上涨,1215.000820159912
181,SH600710,国际贸易<span style='color:#ff4444;'><b>↑30</b></span>/21,苏美达,196.0,5.1,6.057427972798386,11.693007896393572,-0.06174823105654492,2025-12-23,10.770000457763672,15.0,3806.9995880126953,0.3927576009699319,5,26.6,0.2,0.06417824930241567,连续上涨,1062.0002746582031
182,SZ301213,软件服务<span style='color:#ff4444;'><b>↑54</b></span>/22,观想科技,68.5,-1.8,2.630253585189316,4.885410144487915,-0.08760680643076446,2026-03-02,90.0999984741211,85.58000183105469,-451.9996643066406,-0.05016644527873837,4,37.25,0.5,0.028636133478705063,连续上涨,975.9998321533203
183,SZ301179,软件服务<span style='color:#ff4444;'><b>↑54</b></span>/22,泽宇智能,81.1,-0.8,6.2871195241248135,25.438438986252564,-0.018583025992112145,2025-12-05,15.649999618530273,20.059999465942383,2645.9999084472656,0.28178913449879445,3,49.333333333333336,0.3333333333333333,0.08755408704389192,连续上涨,975.9998321533203
184,SZ000158,综合行业<span style='color:#ff4444;'><b>↑51</b></span>/23,常山北明,336.8,-2.4,1.7176323286026869,2.8365874725716744,-0.03472880715217608,2026-02-13,20.149999618530273,21.06999969482422,368.0000305175781,0.04565757288887976,5,15.8,0.4,-0.01966016479825058,连续上涨,916.0003662109375
185,SZ000833,综合行业<span style='color:#ff4444;'><b>↑51</b></span>/23,粤桂股份,211.1,1.0,3.7394153887692276,11.974013333159487,-0.0794188581086841,2026-02-12,22.459999084472656,26.31999969482422,1544.000244140625,0.1718611205563276,2,27.5,0.5,0.07849740833361973,多头排列,916.0003662109375
186,SZ300816,汽车零部件<span style='color:#ff4444;'><b>↑33</b></span>/24,艾可蓝,55.3,0.0,0.5758704743435058,2.0384844581541453,-0.10706225015773463,2026-02-27,64.9800033569336,69.12000274658203,413.99993896484375,0.06371189867300438,3,33.0,1.0,0.22017947331809198,连续上涨,910.0006103515625
187,SZ000338,汽车零部件<span style='color:#ff4444;'><b>↑33</b></span>/24,潍柴动力,2453.7,3.0,3.537990437557254,8.976847509351453,-0.09582475369124532,2025-10-31,14.960000038146973,28.15999984741211,7919.999885559082,0.8823529261768746,2,72.0,0.5,0.4432321866285691,突破年线,910.0006103515625
