,SYMBOL,OPEN DATE,CLOSE DATE,BASE,ADJBASE,PNL,PNL RATIO,IND,NAME,AVG TRANS,AVG DAYS,WIN RATE,TOTAL PNL RATIO,STRATEGY,pnl_growth
10,NXPI,2024-08-27,2024-08-28,252.72999572753906,246.91000366210938,-226.9796905517578,-0.02302849746297647,半导体产品 <span style='color:green;'>↓19</span>(21),恩智浦半导体,1,1.0,0.0,-0.02302849746297647,收盘价走低,776.0792560577393
11,QRVO,2024-08-23,2024-08-28,115.5199966430664,112.26000213623047,-280.3595275878906,-0.028220174875079558,半导体产品 <span style='color:green;'>↓19</span>(21),Qorvo Inc,1,5.0,0.0,-0.028220174875079558,均线空头,776.0792560577393
12,NXPI,2024-08-23,2024-08-26,252.6300048828125,249.83999633789062,-108.81033325195312,-0.011043852634274683,半导体产品 <span style='color:green;'>↓19</span>(21),恩智浦半导体,1,3.0,0.0,-0.011043852634274683,均线空头,776.0792560577393
13,PCOR,2024-08-23,2024-08-28,61.400001525878906,59.47999954223633,-311.04032135009766,-0.03127038983595684,系统软件 <span style='color:red;'>↑54</span>(26),Procore Technologies Inc,1,5.0,0.0,-0.03127038983595684,均线空头,631.4192123413086
14,PODD,2024-06-11,2024-08-23,192.16000366210938,185.0399932861328,-370.24053955078125,-0.03705250957684336,医疗保健设备 <span style='color:green;'>↓18</span>(32),银休特,1,73.0,0.0,-0.03705250957684336,均线空头,493.5508346557617
15,FANG,2024-08-26,2024-08-27,197.27999877929688,194.7100067138672,-128.49960327148438,-0.013027129366037839,石油与天然气的勘探与生产 <span style='color:red;'>↑37</span>(37),Diamondback Energy Inc,1,1.0,0.0,-0.013027129366037839,均线空头,403.51935386657715
16,PTC,2024-08-16,2024-08-28,173.55999755859375,173.8800048828125,18.24041748046875,0.0018437850237392158,应用软件 <span style='color:red;'>↑80</span>(38),PTC Inc,1,12.0,1.0,0.0018437850237392158,均线空头,394.0312657356262
17,GTLB,2024-08-23,2024-08-28,46.97999954223633,46.099998474121094,-186.5602264404297,-0.018731397971259854,应用软件 <span style='color:red;'>↑80</span>(38),Gitlab Inc-A,1,5.0,0.0,-0.018731397971259854,均线空头,394.0312657356262
18,DDOG,2024-08-19,2024-08-28,117.20999908447266,113.41999816894531,-322.1500778198242,-0.032335133052905404,应用软件 <span style='color:red;'>↑80</span>(38),Datadog Inc-A,1,9.0,0.0,-0.032335133052905404,收盘价走低,394.0312657356262
19,NCNO,2024-08-08,2024-08-28,32.099998474121094,29.739999771118164,-733.9595966339111,-0.07352021231108632,应用软件 <span style='color:red;'>↑80</span>(38),nCino Inc,1,20.0,0.0,-0.07352021231108632,下穿年线,394.0312657356262
20,MARA,2024-08-23,2024-08-28,18.690000534057617,17.1299991607666,-834.6007347106934,-0.08346716579533119,应用软件 <span style='color:red;'>↑80</span>(38),Marathon Digital Holdings Inc,1,5.0,0.0,-0.08346716579533119,均线空头,394.0312657356262
21,ANSS,2024-08-14,2024-08-27,319.1300048828125,318.4100036621094,-22.320037841796875,-0.0022561376545195623,应用软件 <span style='color:red;'>↑80</span>(38),安西斯,1,13.0,0.0,-0.0022561376545195623,均线空头,394.0312657356262
