,symbol,open_alias,close,high,low,change,chg,volume,mktcap
1585,ccoi,72.3400,72.1100,73.1300,71.8600,-0.18,-0.1300,92922,3437168651
1586,fv,46.3800,46.0900,46.7100,46.0900,-0.54,-0.2500,32225,3432217537
1587,lth,17.1600,17.2600,17.4300,16.6100,0.35,0.0600,1106468,3419527001
1588,arnc,31.6200,31.2300,32.6400,31.2300,0.22,0.0700,389831,3415845739
1589,hylb,39.7000,39.6100,39.7500,39.6100,-0.30,-0.1200,682740,3415016710
1590,lgih,139.9100,138.5200,140.9800,137.9900,-0.93,-1.3000,93037,3410013191
1591,ptlc,38.4500,38.2400,38.7100,38.2400,-0.68,-0.2600,99054,3406906071
1592,vaw,178.1700,177.6100,180.2150,177.6100,0.16,0.2900,82231,3402572810
1593,hae,67.1200,66.6400,67.8300,66.3500,-1.27,-0.8600,376295,3400613743
1594,rezi,23.5200,23.5700,23.8800,23.5200,0.21,0.0500,483895,3398391990
1595,ias,22.1600,22.0700,22.4500,21.9500,-0.81,-0.1800,173857,3396873990
1596,smpl,35.4200,35.4100,35.7300,35.3400,-0.23,-0.0800,108605,3391570189
1597,mdc,47.5000,47.9000,48.2600,47.3400,0.88,0.4200,282016,3382710022
1598,wtm,1099.2700,1088.6400,1099.4900,1088.6400,-1.03,-11.3500,5487,3381457363
1599,cvlt,73.3600,73.7000,74.8800,72.6100,-0.01,-0.0100,198077,3380689973
1600,shoo,41.7400,41.2200,42.5400,41.1000,-0.91,-0.3800,461029,3377824136
1601,gpi,190.1300,186.8800,192.9900,186.1750,-2.25,-4.3000,118020,3377679959
1602,qfin,21.9700,21.3900,22.4358,21.2700,0.66,0.1400,1515011,3259750461
1603,laur,17.3900,17.3000,17.4600,17.1700,-0.57,-0.1000,536660,3258076216
1604,vioo,205.8100,204.2500,207.0520,204.1600,-0.65,-1.3300,14563,3252776430
1605,skin,25.0900,24.3800,25.3100,23.8200,-3.18,-0.8000,3894303,3252758925
1606,crnc,85.0000,85.5700,87.6100,84.9900,-0.51,-0.4400,221780,3252216033
1607,totl,47.8400,47.8000,47.8700,47.8000,-0.15,-0.0700,120326,3247638976
1608,inst,24.4700,23.4400,24.4700,23.0700,-2.78,-0.6700,28003,3246440000
1609,sklz,8.0800,8.0500,8.3600,7.9700,0.00,0.0000,14710821,3244053504
1610,alhc,17.4000,17.3100,17.9900,17.1000,-0.92,-0.1600,435409,3241709166
1611,eqc,26.4600,26.5500,26.6900,26.3000,0.34,0.0900,508561,3237516425
